phase;name;index;predecessors;type;microProjects;smallProjects;avgProjects;bigProjects;veryBigProjects;hugeProjects;category;discipline;description;author
Elaboration;Structure the Implementation Model;204;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Ustalenie struktury, w ktorej bedzie rezydowac wdrozenie. Przypisanie odpowiedzialnosci za Podsystemy Wdrozeniowe i ich zawartosc.;lukasz GUZEK
Elaboration;Describe the Run-time Architecture;205;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Analiza wymagan dotyczacych wspolbieznosci, identyfikacja procesow, identyfikacja mechanizmow komunikacji miedzyprocesowej, alokacja zasobow koordynacji miedzyprocesowej, identyfikacja cykli zycia procesow i dystrybucja elementow modelu miedzy procesami.;lukasz GUZEK
Elaboration;Describe Distribution;206;;Task;0;1;1;1;1;1;"mikro male -  nie wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Aby opisac, w jaki sposob funkcjonalnosc systemu jest rozlozona na wezly fizyczne. Wymagane tylko w przypadku systemow rozproszonych.;lukasz GUZEK
Elaboration;Review the Architecture;207;;Task;0;1;1;1;1;1;"mikro male -  nie wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Aby wykryc potencjalna niezgodnosc miedzy wymaganiami a architektura: przeprojektowanie, nierealistyczne wymagania lub brakujace wymagania. W szczegolnosci ocena moze dotyczyc niektorych aspektow czesto pomijanych w obszarach eksploatacji, administracji i utrzymania.;lukasz GUZEK
Elaboration;Develop Components [within Scope];208;117;Activity;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Modelowanie biznesowe;Tworzenie i opracowanie komponentow systemu.;Dawid BONDYRA
Elaboration;Analyze Behavior;209;;Activity;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;;Dawid BONDYRA
Elaboration;Identify Design Elements;210;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Identyfikacja elementow projektu wystepuje na kazdym szczeblu.;Dawid BONDYRA
Elaboration;Use-Case Analysis;211;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Analiza dotyczy przypadkow uzycia.;Dawid BONDYRA
Elaboration;Operation Analysis;212;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Przeprowadzenie analizy operacyjnej projektu.;Dawid BONDYRA
Elaboration;Design the User Interface;213;;Task;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Modelowanie biznesowe;Opracowanie GUI oraz wymaganych interfejsow.;Dawid BONDYRA
Elaboration;Prototype the User-Interface;214;;Task;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Modelowanie biznesowe;;Dawid BONDYRA
Elaboration;Review the Design;215;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Przeglad projektu jest kamieniem milowym w procesie rozwoju projektu.;Dawid BONDYRA
Elaboration;Service Identification;216;;Activity;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;;Dawid BONDYRA
Elaboration;Domain Decomposition;217;;Activity;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;;Dawid BONDYRA
Elaboration;Functional Area Analysis;218;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;;Dawid BONDYRA
Elaboration;Refine a Business Use-Case;219;;Task;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Wtorna analiza biznesowych przypadkow uzycia ;Dawid BONDYRA
Elaboration;Business Process Analysis;220;219;Task;0;1;1;1;1;1;"mikro male -  nie wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Analiza dotyczy procesow biznesowych.;Dawid BONDYRA
Elaboration;Business Use Case Analysis (SOA);221;219;Task;0;1;1;1;1;1;"mikro male -  nie wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Analiza dotyczy bizesowych przypadkow uzycia.;Dawid BONDYRA
Elaboration;Goal-Service Modeling;222;217;Activity;0;1;1;1;1;1;"mikro male -  nie wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Modelowanie biznesowe;;Dawid BONDYRA
Elaboration;Identify Business Goals and KPIs;223;;Task;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Modelowanie biznesowe;Zadanie okresla cele jakie nalezy osiagnac;Bartosz OCIMEK
Elaboration;Identify and Associate Services to Goals;224;223;Task;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Opracowanie relacji celu z przedmiotem pracy, aby zidentyfikowac i powiazac obecne lub przyszle zadania oraz osiagnac cele projektowe;Bartosz OCIMEK
Elaboration;Existing Asset Analysis;225;222;Activity;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Aby ustalic dostepne srodki w ramach wykonywanego projektu;Bartosz OCIMEK
Elaboration;Existing Asset Analysis;226;;Task;0;0;0;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - nie wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Aby ustalic dostepne srodki w ramach wykonywanego projektu;Bartosz OCIMEK
Elaboration;Data Model Analysis;227;;Task;0;1;1;1;1;1;"mikro male -  nie wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Przeprowadzenie analizy modelu danych ;Bartosz OCIMEK
Elaboration;Business Rule Analysis;228;;Task;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Przeprowadzenie analizy biznesowej projektu;Bartosz OCIMEK
Elaboration;Construct Architectural Proof-of-Concept (SOA);229;226,227,228;Task;0;0;0;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - nie wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Modelowanie biznesowe;To zadanie okresla, w jaki sposob opracowac architektoniczna weryfikacje koncepcji rozwiazania SOA w oparciu o istniejace wymagania architektoniczne i profil ryzyka;Bartosz OCIMEK
Elaboration;Design Components;230;209,216;Activity;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Opracowanie kompnentow, ktore zostana zastosowane w projekcie;Bartosz OCIMEK
Elaboration;Use-Case Design;231;;Task;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Modelowanie biznesowe;Zadanie zostanie wprowadzone w celu stworzenia diagramu przypadkow uzycia;Bartosz OCIMEK
Elaboration;Subsystem Design;232;;Task;0;0;0;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - nie wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Modelowanie biznesowe;W tym zadaniu opisano, jak dokumentowac elementy podsystemu i ich zachowanie, a takze zaleznosci podsystemu.;Bartosz OCIMEK
Elaboration;Operation Design;233;;Task;0;0;0;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - nie wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Modelowanie biznesowe;Projekt operacyjny skupia sie na tym, jak faktycznie dziala przedsiebiorstwo.;Bartosz OCIMEK
Elaboration;Class Design;234;;Task;0;0;0;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - nie wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Modelowanie biznesowe;Stworzenie wizualnej reprezentacji projektu;Bartosz OCIMEK
Elaboration;Define Testability Elements;235;;Task;0;1;1;1;1;1;"mikro male -  nie wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Jest to opracowanie strategii jaka bedzie sie poslugiwac do przeprowadzania testu;Bartosz OCIMEK
Elaboration;Design Testability Elements;236;;Task;0;1;1;1;1;1;"mikro male -  nie wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Jest to opracowanie strategii jaka bedzie sie poslugiwac do przeprowadzania testu;Bartosz OCIMEK
Elaboration;Capsule Design;237;;Task;0;1;1;1;1;1;"mikro male -  nie wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;;Bartosz OCIMEK
Elaboration;Review the Design;238;;Task;0;1;1;1;1;1;"mikro male -  nie wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Przeglad projektu.;Emil MaKA
Elaboration;Design the Database;239;209,216;Activity;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Projektowanie bazy danych;Emil MaKA
Elaboration;Class Design;240;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Projektowanie klas ;Emil MaKA
Elaboration;Specify Data Migration;241;;Task;0;1;1;1;1;1;"mikro male -  nie wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;"Ustalenie migracji danych, czyli ""przenoszenia"" danych z jednego miejsca do drugiego lub zmiana struktury BD";Emil MaKA
Elaboration;Database Design;242;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Projektowanie bazy danych;Emil MaKA
Elaboration;Review the Design;243;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Przeglad projektu.;Emil MaKA
Elaboration;Service Specification;244;209,216;Activity;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Specyfikacja pokazuje wszystkie wymagania dotyczace projektu;Emil MaKA
Elaboration;Perform Service Specification;245;;Activity;0;0;0;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - nie wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;;Emil MaKA
Elaboration;Apply Services Litmus Tests;246;;Task;0;0;0;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - nie wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Test;;Emil MaKA
Elaboration;Service Specification;247;;Task;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Konfiguracja i zmiany;Specyfikacja pokazuje wszystkie wymagania dotyczace projektu;Emil MaKA
Elaboration;Message Design;248;;Task;0;0;0;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - nie wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Projektowanie wiadomosci to proces laczenia spostrzezen na temat priorytetowych odbiorcow z kluczowymi informacjami, ktore odbiorcy musza znac;Emil MaKA
Elaboration;Identify Security Patterns;249;247;Task;0;1;1;1;1;1;"mikro male -  nie wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Wzorce bezpieczenstwa moga byc stosowane do osiagania celow w dziedzinie bezpieczenstwa. Wszystkie klasyczne wzorce projektowe maja rozne instancje, aby spelnic pewne cele bezpieczenstwa informacji;Emil MaKA
Elaboration;Perform Subsystem Analysis;250;245;Activity;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Podsystem to miejsce, w ktorym w systemie przetwarzana jest praca. Podsystem to pojedyncze, predefiniowane srodowisko operacyjne, za pomoca ktorego system koordynuje przeplyw pracy i wykorzystanie zasobow.;Emil MaKA
Elaboration;Subsystem Design (SOA);251;;Task;0;0;0;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - nie wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Podsystemy projektowe sa uzywane do enkapsulacji zachowania wewnatrz �pakietu�, ktory zapewnia jawne i formalne interfejsy i ktory (umownie) nie ujawnia zadnej swojej wewnetrznej zawartosci.;Emil MaKA
Elaboration;Perform Component Specification;252;250;Activity;0;1;1;1;1;1;"mikro male -  nie wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Specyfikacja komponentu to ogolny opis komponentu. Definiuje swoje zaleznosci od innych komponentow, jakie akcje mozna na nim wykonac i jak te akcje wplywaja na zaleznosci.;Emil MaKA
Elaboration;Component Specification (SOA);253;;Task;0;1;1;1;1;1;"mikro male -  nie wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;To zadanie okresla szczegoly Komponentow Uslug, ktore realizuja Podsystem Projektowy;lukasz GUZEK
Elaboration;Service Realization;254;209,216;Activity;0;1;1;1;1;1;"mikro male -  nie wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;W ten sposob sie tworzy pomost miedzy perspektywa produktow biznesowych a perspektywa procesu biznesowego. Zapewnia �widok z zewnatrz� na jeden lub wiecej procesow biznesowych.;lukasz GUZEK
Elaboration;Realization Decisions;255;;Activity;0;1;1;1;1;1;"mikro male -  nie wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;;lukasz GUZEK
Elaboration;Document Service Realization Decisions;256;;Task;0;1;1;1;1;1;"mikro male -  nie wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Zadanie to skupia sie na realizacji modelu uslug w zakresie komponentow oprogramowania do uruchomienia w istniejacych srodowiskach oprogramowania posredniego;lukasz GUZEK
Elaboration;Component Specification (SOA);257;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;To zadanie okresla szczegoly Komponentow Uslug, ktore realizuja Podsystem Projektowy;lukasz GUZEK
Elaboration;Construct Architectural Proof-of-Concept (SOA);258;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Modelowanie biznesowe;Okresla, w jaki sposob opracowac architektoniczna weryfikacje koncepcji rozwiazania SOA w oparciu o istniejace wymagania architektoniczne i profil ryzyka.;lukasz GUZEK
Elaboration;Assess Viability of Architectural Proof-of-Concept;259;258;Task;0;1;1;1;1;1;"mikro male -  nie wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Ocena zsyntetyzowanego dowodu koncepcji architektonicznej w celu okreslenia, czy krytyczne wymagania architektoniczne sa wykonalne i czy mozna je spelnic (za pomoca tego lub dowolnego innego rozwiazania).;lukasz GUZEK
Elaboration;Implement Components;260;209,216;Activity;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Implementacja;Zadanie to dotyczy implementacji komponentow dla aplikacji.;lukasz GUZEK
Elaboration;Plan Subsystem Integration;261;;Task;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Zaplanowac kolejnosc integracji elementow zawartych w podsystemie wdrozeniowym.;lukasz GUZEK
Elaboration;Implement Design Elements;262;;Task;0;1;1;1;1;1;"mikro male -  nie wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;;lukasz GUZEK
Elaboration;Analyze Runtime Behavior;263;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Opisuje, jak analizowac zachowanie komponentu podczas jego wykonywania, aby zidentyfikowac ulepszenia, ktore mozna wprowadzic.;lukasz GUZEK
Elaboration;Implement Testability Elements;264;;Task;0;1;1;1;1;1;"mikro male -  nie wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Implementacja;Identyfikacja fizycznych elementow infrastruktury implementacji testow wymaganych do testowania w kazdej Konfiguracji srodowiska Testowego;lukasz GUZEK
Elaboration;Implement Developer Test;265;;Task;0;1;1;1;1;1;"mikro male -  nie wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Implementacja;Rezultatem jest jeden lub wiecej nowych testow programistycznych;lukasz GUZEK
Elaboration;Execute Developer Tests;266;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Test;W tym zadaniu opisano, jak uruchomic i ocenic zestaw testow zaprojektowanych w celu sprawdzenia, czy skladnik dziala prawidlowo, przed wykonaniem bardziej formalnych testow na skladniku.;lukasz GUZEK
Elaboration;Review Code;267;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Czynnosc zapewnienia jakosci oprogramowania, w ktorej jedna lub kilka osob sprawdza program glownie poprzez przegladanie i odczytywanie fragmentow jego kodu zrodlowego, a robia to po wdrozeniu lub jako przerwa we wdrozeniu;lukasz GUZEK
Elaboration;Integrate and Test;268;117;Activity;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Test;Testowanie integracji modulow oprogramowania;Emil MaKA
Elaboration;Verify Test Approach;269;;Activity;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Test;Zobrazowanie podejscia roznych metod testowania;Emil MaKA
Elaboration;Define Test Environment Configurations;270;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Test;Zdefiniowanie konfiguracji srodowiska testow;Emil MaKA
Elaboration;Identify Testability Mechanisms;271;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Test;Obrazuje jak zidentyfikowac mechanizmy rowiazan testow;Emil MaKA
Elaboration;Define Testability Elements;272;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Test;Zdefiniowanie elementow testow;Emil MaKA
Elaboration;Define Test Details;273;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Test;Zdefiniowanie elementow testow;Emil MaKA
Elaboration;Implement Test;274;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Test;Implementacja testow;Emil MaKA
Elaboration;Implement Test Suite;275;;Task;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Test;Implementacja testow;Emil MaKA
Elaboration;Obtain Testability Commitment;276;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Test;Promowanie tworzenia testowalnego oprogramowania, ktore wspiera potrzeby prac testowych;Emil MaKA
Elaboration;Integrate and Validate Build;277;;Activity;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Konfiguracja i zmiany;Integracja i sprawdzenie budowy projektu;Emil MaKA
Elaboration;Integrate each Subsystem;278;;Activity;0;0;0;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - nie wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Konfiguracja i zmiany;Integracja podsystemow;Emil MaKA
Elaboration;Implement Developer Test;279;;Task;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Implementacja;Implementacja testow;Emil MaKA
Elaboration;Execute Developer Tests;280;;Task;0;0;1;1;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Test;Uruchomienie testow;Emil MaKA
Elaboration;Integrate Subsystem;281;;Task;0;0;0;0;1;1;"mikro male -  nie wystepuje; male - nie wystepuje; srednie - nie wystepuje; duze - nie wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";srodowisko;Integracja podsystemu;Emil MaKA
Elaboration;Integrate the System;282;;Activity;0;1;1;1;1;1;"mikro male -  nie wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";srodowisko;Integracja systemu;Emil MaKA
Elaboration;Integrate System;283;;Task;0;1;1;1;1;1;"mikro male -  nie wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";srodowisko;Integracja systemu;Emil MaKA
Elaboration;Validate Build Stability;284;282;Activity;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";srodowisko;Sprawdzenie stabilnosci zbudowanego projektu;Emil MaKA
Elaboration;Define Test Details;285;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Analiza i projektowanie;Zdefiniowanie szczegolow testow;Emil MaKA
Elaboration;Implement Test;286;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Implementacja;Implementacja testow;Emil MaKA
Elaboration;Execute Test Suite;287;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Test;Uruchomienie testow;Emil MaKA
Elaboration;Analyze Test Failure;288;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Test;Analiza testow, ktore zakonczyly sie niepowodzeniem;Emil MaKA
Elaboration;Determine Test Results;289;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Test;Okreslenie rezultatow testow;Emil MaKA
Elaboration;Assess and Advocate Quality;290;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Konfiguracja i zmiany;Zadanie to koncentruje sie na wspieraniu ogolnych wysilkow zwiazanych z identyfikacja luk jakosciowych, ocena ich wplywu i ryzyka oraz znalezieniem skutecznych rozwiazan.;Emil MaKA
Elaboration;Test and Evaluate [within Scope];291;;Activity;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Test;To proces, w ktorym system lub komponenty sa porownywane z wymaganiami i specyfikacjami poprzez testowanie;Emil MaKA
Elaboration;Test and Evaluate;292;;Activity;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Test;To proces, w ktorym system lub komponenty sa porownywane z wymaganiami i specyfikacjami poprzez testowanie;Emil MaKA
Elaboration;Define Test Details;293;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Test;Zdefiniowanie szczegolow testow;Emil MaKA
Elaboration;Implement Test;294;;Task;1;1;1;1;1;1;"mikro male -  wystepuje; male - wystepuje; srednie - wystepuje; duze - wystepuje; bardzo duze - wystepuje; ogromne - wystepuje";Implementacja;Implementacja testow;Emil MaKA
